相对路径,汉字数,是否计入有效样本,提取状态
2005\A\优秀论文\基于回归分析的长江水质预测与控制.pdf,3961,是,cache
2005\A\优秀论文\水质的评价和预测模型.pdf,4178,是,cache
2005\A\优秀论文\长江水质的评价和预测.pdf,5669,是,cache
2005\A\优秀论文\长江水质的评价和预测的论文.doc,6752,是,cache
2005\A\优秀论文\长江水质的评价预测模型.pdf,3268,是,cache
2005\A\优秀论文\长江水质的评价预测模型及其实用性研究.pdf,3426,是,cache
2005\A\优秀论文\长江水质综合评价与预测的数学模型.pdf,10207,是,cache
2005\A\优秀论文\长江水质评价和预测研究.pdf,3723,是,cache
2005\B\优秀论文\2005年B_D题DVD在线租赁问题.pdf,3404,是,cache
2005\B\优秀论文\2005年B_D题DVD在线租赁问题研究.pdf,1964,否,cache
2005\B\优秀论文\c05B1lzx-李蓬蓬、朱小满、解炜，指导教师组.pdf,9728,是,cache
2005\B\优秀论文\DVD租赁优化方案(特等奖文章).doc,7851,是,cache
2006\A\优秀论文\2006全国大学生数学建模竞赛A题论文.doc,11255,是,cache
2006\A\优秀论文\艾滋病疗法的评价及疗效的预测.doc,10468,是,cache
2006\A\优秀论文\艾滋病疗法评价及疗效预测.doc,13331,是,cache
2006\A\优秀论文\艾滋病疗法评价及疗效预测的优化模型.doc,13529,是,cache
2006\B\优秀论文\B题.doc,778,否,cache
2006\B\优秀论文\投资的收益和风险问题.doc,1168,否,cache
2007\A\优秀论文\cumcm0702.pdf,8709,是,cache
2007\A\优秀论文\cumcm0705.pdf,5246,是,cache
2007\A\优秀论文\cumcm0707.pdf,4124,是,cache
2007\A\优秀论文\cumcm0715.pdf,9363,是,cache
2007\A\优秀论文\cumcm0729.pdf,7546,是,cache
2007\A\优秀论文\cumcm0730.pdf,8224,是,cache
2007\A\优秀论文\cumcm0735.pdf,10703,是,cache
2007\B\优秀论文\C07B1gcy.pdf,10505,是,cache
2007\B\优秀论文\C07B1pcw.pdf,15507,是,cache
2007\B\优秀论文\C07B1wox.pdf,8434,是,cache
2007\B\优秀论文\cumcm0704.pdf,9254,是,cache
2007\B\优秀论文\cumcm0708.pdf,9454,是,cache
2007\B\优秀论文\cumcm0732.pdf,5271,是,cache
2007\B\优秀论文\cumcm0737.pdf,7239,是,cache
2007\B\优秀论文\cumcm0740.pdf,7208,是,cache
2007\B\优秀论文\cumcm0746.pdf,9299,是,cache
2007\B\优秀论文\cumcm0753.pdf,8936,是,cache
2007\B\优秀论文\cumcm0754.pdf,10128,是,cache
2008\A\优秀论文\A2008.doc,838,否,cache
2008\A\优秀论文\数码相机定位.pdf,10516,是,cache
2008\B\优秀论文\1910.pdf,16363,是,cache
2008\B\优秀论文\B1919（陈寅）[1]...pdf,14956,是,cache
2008\B\优秀论文\B1920.pdf,18552,是,cache
2008\B\优秀论文\B2008.doc,552,否,cache
2008\B\优秀论文\B长沙理工大学 张伯龙 刘举款 张芳.pdf,7479,是,cache
2008\B\优秀论文\B长沙理工大学_高等教育学费的优化模型.pdf,7479,是,cache
2008\B\优秀论文\cumcm0849.PDF,12530,是,cache
2008\B\优秀论文\cumcm0849—关于高等教育学费评价的标准及建议.PDF,12530,是,cache
2008\B\优秀论文\cumcm0858.PDF,8054,是,cache
2008\B\优秀论文\cumcm0858—高校学费合理性研究.PDF,8054,是,cache
2008\B\优秀论文\cumcm0860.PDF,10595,是,cache
2008\B\优秀论文\论文f.pdf,12931,是,cache
2008\B\优秀论文\高校教育学费标准的研究.pdf,14956,是,cache
2008\B\优秀论文\高等教育学费标准探究—浙江大学队伍.pdf,12931,是,cache
2009\A\优秀论文\09A.pdf,8661,是,cache
2009\A\优秀论文\09A2.pdf,7934,是,cache
2009\A\优秀论文\09A3.pdf,6459,是,cache
2009\A\优秀论文\09年A题.pdf,1612,否,cache
2009\A\优秀论文\2009全国大学生数学建模A题0314.pdf,8770,是,cache
2009\A\优秀论文\2009全国大学生数学建模A题0318.pdf,14650,是,cache
2009\A\优秀论文\2009河南科技大学（郑晨，王文霞，李培飞_A.pdf,9495,是,cache
2009\B\优秀论文\09B.pdf,8293,是,cache
2010\A\全国一等奖\2010年数学建模A题全国一等奖论文.pdf,7051,是,cache
2010\B\全国一等奖\2010数学建模国家一等奖论文(B).doc,18774,是,cache
2011\A\优秀论文\2011数学建模优秀论文A题.doc,11495,是,cache
2011\B\优秀论文\4.国赛2011B题原论文.doc,20046,是,cache
2011\B\全国一等奖\2011年全国大学生数学建模竞赛B题省级一等奖论文.pdf,7750,是,cache
2012\A\优秀论文\A004.doc,21949,是,cache
2012\A\优秀论文\A301.pdf,9239,是,cache
2012\A\优秀论文\A335.pdf,20486,是,cache
2012\A\优秀论文\A441.pdf,702,否,cache
2012\B\优秀论文\20121784.pdf,8729,是,cache
2012\B\优秀论文\B077.pdf,1061,否,cache
2012\B\优秀论文\基于递归算法的建筑外表面光伏电池布局优化分析与设计.doc,17961,是,cache
2013\A\优秀论文\5486.pdf,14704,是,cache
2013\A\优秀论文\A-13241002-黄小敏，黄程，王露.pdf,15349,是,cache
2013\A\优秀论文\A0114.pdf,10824,是,cache
2013\A\优秀论文\基于差分方程和元胞自动机的交通阻塞模型.pdf,16950,是,cache
2013\B\优秀论文\814 姜荣杰 朱佳亭 金建邦.pdf,11333,是,cache
2013\B\优秀论文\B-20001040-向航，王帆，郭树璇.pdf,9851,是,cache
2013\B\优秀论文\B0129.pdf,1305,否,cache
2013\B\优秀论文\B506.pdf,7775,是,cache
2013\B\优秀论文\唐隽玉，孙雪清，胡文伟.pdf,12792,是,cache
2014\A\优秀论文\A10009072_吉张鹤轩_杨升_陈同广.pdf,14262,是,cache
2014\A\优秀论文\A11141001_陈超_唐梦珏_杨克宇.pdf,14142,是,cache
2014\A\优秀论文\A11168020_郑建国_陶禹诺_严洒洒.pdf,14941,是,cache
2014\A\优秀论文\A15010142_王子硕_吴鹏飞_陶立.pdf,12455,是,cache
2014\A\优秀论文\A19004009_吴国斌_方荧荧_严格格.pdf,10331,是,cache
2014\A\优秀论文\A23022014_杜磊_江启文_汪鑫 .pdf,10919,是,cache
2014\B\优秀论文\B16046004_程双泽_李君昌_陈凌勤.pdf,7501,是,cache
